Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
7L7,2010-02,RN7SLP3|RN7SL848P,RN7SL6P,RN7SLP3|RN7SL848P|RN7SL6P
RN7SL7P,2010-02,RN7SLP4|RN7SL27P,7L23,RN7SLP4|RN7SL27P|7L23
7L23,2010-02,RN7SLP4|RN7SL27P,RN7SL7P,RN7SLP4|RN7SL27P|RN7SL7P
RN7SL8P,2010-02,RN7SLP5|RN7SL433P,7L63,RN7SLP5|RN7SL433P|7L63
7L63,2010-02,RN7SLP5|RN7SL433P,RN7SL8P,RN7SLP5|RN7SL433P|RN7SL8P
RNASE1,2016-01,RNS1,RAC1,RNS1|RAC1
RAC1,2016-01,RNS1,RNASE1,RNS1|RNASE1
RNASE2,2016-01,RNS2,EDN|RAF3,RNS2|EDN|RAF3
EDN,2016-01,RNS2,RNASE2|RAF3,RNS2|RNASE2|RAF3
RAF3,2016-01,RNS2,RNASE2|EDN,RNS2|RNASE2|EDN
RNASE3,2016-01,RNS3,ECP|RAF1,RNS3|ECP|RAF1
ECP,2016-01,RNS3,RNASE3|RAF1,RNS3|RNASE3|RAF1
RAF1,2016-01,RNS3,RNASE3|ECP,RNS3|RNASE3|ECP
RNASE4,2016-01,,RAB1,RAB1
RAB1,2016-01,,RNASE4,RNASE4
RNASE6,2016-01,RNS6,RAD1|RNaseK6,RNS6|RAD1|RNaseK6
RAD1,2016-01,RNS6,RNASE6|RNaseK6,RNS6|RNASE6|RNaseK6
RNaseK6,2016-01,RNS6,RNASE6|RAD1,RNS6|RNASE6|RAD1
RNASEH1P1,2002-06,RNASEH1,RNH1,RNASEH1|RNH1
RNH1,2002-06,RNASEH1,RNASEH1P1,RNASEH1|RNASEH1P1
BCL7B,2016-07,,,
RNASEL,2016-01,RNS4|PRCA1,,RNS4|PRCA1
RNASEL1,,,,
RNE1,,,,
RNE2,,,,
RNE3,,,,
RNF10,,,KIAA0262|RIE2,KIAA0262|RIE2
KIAA0262,,,RNF10|RIE2,RNF10|RIE2
RIE2,,,RNF10|KIAA0262,RNF10|KIAA0262
RNF11,,,CGI-123|Sid1669p|MGC51169,CGI-123|Sid1669p|MGC51169
CGI-123,,,RNF11|Sid1669p|MGC51169,RNF11|Sid1669p|MGC51169
Sid1669p,,,RNF11|CGI-123|MGC51169,RNF11|CGI-123|MGC51169
MGC51169,,,RNF11|CGI-123|Sid1669p,RNF11|CGI-123|Sid1669p
RNF13,,,RZF,RZF
RZF,,,RNF13,RNF13
RNF14,,,ARA54|HFB30|TRIAD2,ARA54|HFB30|TRIAD2
ARA54,,,RNF14|HFB30|TRIAD2,RNF14|HFB30|TRIAD2
HFB30,,,RNF14|ARA54|TRIAD2,RNF14|ARA54|TRIAD2
TRIAD2,,,RNF14|ARA54|HFB30,RNF14|ARA54|HFB30
TRIM38,2011-01,RNF15,RORET,RNF15|RORET
RORET,2011-01,RNF15,TRIM38,RNF15|TRIM38
BCL7C,2016-07,,,
RNF17,,TDRD4,Mmip-2|SPATA23|FLJ11045,TDRD4|Mmip-2|SPATA23|FLJ11045
Mmip-2,,TDRD4,RNF17|SPATA23|FLJ11045,TDRD4|RNF17|SPATA23|FLJ11045
SPATA23,,TDRD4,RNF17|Mmip-2|FLJ11045,TDRD4|RNF17|Mmip-2|FLJ11045
FLJ11045,,TDRD4,RNF17|Mmip-2|SPATA23,TDRD4|RNF17|Mmip-2|SPATA23
RNF2,,,BAP-1|BAP1|DING|HIPI3|RING1B|RING2,BAP-1|BAP1|DING|HIPI3|RING1B|RING2
BAP-1,,,RNF2|BAP1|DING|HIPI3|RING1B|RING2,RNF2|BAP1|DING|HIPI3|RING1B|RING2
BAP1,,,RNF2|BAP-1|DING|HIPI3|RING1B|RING2,RNF2|BAP-1|DING|HIPI3|RING1B|RING2
DING,,,RNF2|BAP-1|BAP1|HIPI3|RING1B|RING2,RNF2|BAP-1|BAP1|HIPI3|RING1B|RING2
HIPI3,,,RNF2|BAP-1|BAP1|DING|RING1B|RING2,RNF2|BAP-1|BAP1|DING|RING1B|RING2
