Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
DEFA4,2015-11,DEF4,HP-4,DEF4|HP-4
HP-4,2015-11,DEF4,DEFA4,DEF4|DEFA4
FAM41C,2015-11,,,
FAM102B,2015-11,,DKFZp779B126|SYM-3B,DKFZp779B126|SYM-3B
DKFZp779B126,2015-11,,FAM102B|SYM-3B,FAM102B|SYM-3B
SYM-3B,2015-11,,FAM102B|DKFZp779B126,FAM102B|DKFZp779B126
SYPL2,2016-03,,Mg29,Mg29
Mg29,2016-03,,SYPL2,SYPL2
ANKRD34A,2007-11,ANKRD34,,ANKRD34
DEFA5,2015-11,DEF5,HD-5,DEF5|HD-5
HD-5,2015-11,DEF5,DEFA5,DEF5|DEFA5
LINC01686,,,,
MIR449A,2007-10,MIRN449|MIRN449A,hsa-mir-449|hsa-mir-449a,MIRN449|MIRN449A|hsa-mir-449|hsa-mir-449a
hsa-mir-449,2007-10,MIRN449|MIRN449A,MIR449A|hsa-mir-449a,MIRN449|MIRN449A|MIR449A|hsa-mir-449a
hsa-mir-449a,2007-10,MIRN449|MIRN449A,MIR449A|hsa-mir-449,MIRN449|MIRN449A|MIR449A|hsa-mir-449
SNHG28,2017-05,C1orf204,FLJ39187|VSIG8-OT1,C1orf204|FLJ39187|VSIG8-OT1
FLJ39187,2017-05,C1orf204,SNHG28|VSIG8-OT1,C1orf204|SNHG28|VSIG8-OT1
VSIG8-OT1,2017-05,C1orf204,SNHG28|FLJ39187,C1orf204|SNHG28|FLJ39187
SPATA46,2016-11,C1orf111,,C1orf111
DEFA6,2015-11,,HD-6|DEF6,HD-6|DEF6
HD-6,2015-11,,DEFA6|DEF6,DEFA6|DEF6
DEF6,2015-11,,DEFA6|HD-6,DEFA6|HD-6
HNRNPU-AS1,,,,
CPLX3,,,CPX-III,CPX-III
CPX-III,,,CPLX3,CPLX3
SLC25A34,2015-12,,DKFZp781A10161,DKFZp781A10161
DKFZp781A10161,2015-12,,SLC25A34,SLC25A34
C20orf204,2017-04,PRR17|NCRNA00176|LINC00176,DKFZp434G015|FLJ27267,PRR17|NCRNA00176|LINC00176|DKFZp434G015|FLJ27267
DKFZp434G015,2017-04,PRR17|NCRNA00176|LINC00176,C20orf204|FLJ27267,PRR17|NCRNA00176|LINC00176|C20orf204|FLJ27267
FLJ27267,2017-04,PRR17|NCRNA00176|LINC00176,C20orf204|DKFZp434G015,PRR17|NCRNA00176|LINC00176|C20orf204|DKFZp434G015
LINC00494,,,,
LINC01270,,,,
MIR646HG,2015-02,,,
DEFB1,2015-11,,HBD-1|DEFB-1|DEFB101|HBD1|BD1|MGC51822,HBD-1|DEFB-1|DEFB101|HBD1|BD1|MGC51822
HBD-1,2015-11,,DEFB1|DEFB-1|DEFB101|HBD1|BD1|MGC51822,DEFB1|DEFB-1|DEFB101|HBD1|BD1|MGC51822
DEFB-1,2015-11,,DEFB1|HBD-1|DEFB101|HBD1|BD1|MGC51822,DEFB1|HBD-1|DEFB101|HBD1|BD1|MGC51822
DEFB101,2015-11,,DEFB1|HBD-1|DEFB-1|HBD1|BD1|MGC51822,DEFB1|HBD-1|DEFB-1|HBD1|BD1|MGC51822
HBD1,2015-11,,DEFB1|HBD-1|DEFB-1|DEFB101|BD1|MGC51822,DEFB1|HBD-1|DEFB-1|DEFB101|BD1|MGC51822
BD1,2015-11,,DEFB1|HBD-1|DEFB-1|DEFB101|HBD1|MGC51822,DEFB1|HBD-1|DEFB-1|DEFB101|HBD1|MGC51822
MGC51822,2015-11,,DEFB1|HBD-1|DEFB-1|DEFB101|HBD1|BD1,DEFB1|HBD-1|DEFB-1|DEFB101|HBD1|BD1
MIR663AHG,2015-02,,RP3-410C9.1,RP3-410C9.1
RP3-410C9.1,2015-02,,MIR663AHG,MIR663AHG
MIF-AS1,,,LOC284889|MIF-AS,LOC284889|MIF-AS
LOC284889,,,MIF-AS1|MIF-AS,MIF-AS1|MIF-AS
MIF-AS,,,MIF-AS1|LOC284889,MIF-AS1|LOC284889
DEFB4A,2015-11,DEFB102|DEFB2|DEFB4,SAP1|HBD-2|DEFB-2,DEFB102|DEFB2|DEFB4|SAP1|HBD-2|DEFB-2
SAP1,2015-11,DEFB102|DEFB2|DEFB4,DEFB4A|HBD-2|DEFB-2,DEFB102|DEFB2|DEFB4|DEFB4A|HBD-2|DEFB-2
HBD-2,2015-11,DEFB102|DEFB2|DEFB4,DEFB4A|SAP1|DEFB-2,DEFB102|DEFB2|DEFB4|DEFB4A|SAP1|DEFB-2
DEFB-2,2015-11,DEFB102|DEFB2|DEFB4,DEFB4A|SAP1|HBD-2,DEFB102|DEFB2|DEFB4|DEFB4A|SAP1|HBD-2
NT5DC4,,,,
DEK,2014-06,,D6S231E,D6S231E
D6S231E,2014-06,,DEK,DEK
ALKAL2,2017-02,FAM150B,AUGA,FAM150B|AUGA
AUGA,2017-02,FAM150B,ALKAL2,FAM150B|ALKAL2
DENR,2016-07,,DRP|DRP1|SMAP-3,DRP|DRP1|SMAP-3
DRP,2016-07,,DENR|DRP1|SMAP-3,DENR|DRP1|SMAP-3
DRP1,2016-07,,DENR|DRP|SMAP-3,DENR|DRP|SMAP-3
SMAP-3,2016-07,,DENR|DRP|DRP1,DENR|DRP|DRP1
LINC01305,,,,
IAH1,2015-07,,,
ADRA1A,2012-05,ADRA1C,ADRA1L1,ADRA1C|ADRA1L1
ADRA1L1,2012-05,ADRA1C,ADRA1A,ADRA1C|ADRA1A
DES,,,CMD1I|CSM1|CSM2,CMD1I|CSM1|CSM2
CMD1I,,,DES|CSM1|CSM2,DES|CSM1|CSM2
CSM1,,,DES|CMD1I|CSM2,DES|CMD1I|CSM2
CSM2,,,DES|CMD1I|CSM1,DES|CMD1I|CSM1
TUSC7,2013-05,NCRNA00295|LSAMP-AS3,LINC00902|LOC285194,NCRNA00295|LSAMP-AS3|LINC00902|LOC285194
LINC00902,2013-05,NCRNA00295|LSAMP-AS3,TUSC7|LOC285194,NCRNA00295|LSAMP-AS3|TUSC7|LOC285194
LOC285194,2013-05,NCRNA00295|LSAMP-AS3,TUSC7|LINC00902,NCRNA00295|LSAMP-AS3|TUSC7|LINC00902
LINC00636,,,,
LINC00877,,,,
LINC00692,,,,
CCDC66,,,DKFZp686C0433,DKFZp686C0433
DKFZp686C0433,,,CCDC66,CCDC66
CFD,2016-05,DF|PFD,ADN,DF|PFD|ADN
ADN,2016-05,DF|PFD,CFD,DF|PFD|CFD
ZNF852,,,,
DPH3,2013-06,ZCSL2,DESR1|DELGIP1|MGC20197|KTI11|DELGIP|DPH3A,ZCSL2|DESR1|DELGIP1|MGC20197|KTI11|DELGIP|DPH3A
DESR1,2013-06,ZCSL2,DPH3|DELGIP1|MGC20197|KTI11|DELGIP|DPH3A,ZCSL2|DPH3|DELGIP1|MGC20197|KTI11|DELGIP|DPH3A
DELGIP1,2013-06,ZCSL2,DPH3|DESR1|MGC20197|KTI11|DELGIP|DPH3A,ZCSL2|DPH3|DESR1|MGC20197|KTI11|DELGIP|DPH3A
MGC20197,2013-06,ZCSL2,DPH3|DESR1|DELGIP1|KTI11|DELGIP|DPH3A,ZCSL2|DPH3|DESR1|DELGIP1|KTI11|DELGIP|DPH3A
KTI11,2013-06,ZCSL2,DPH3|DESR1|DELGIP1|MGC20197|DELGIP|DPH3A,ZCSL2|DPH3|DESR1|DELGIP1|MGC20197|DELGIP|DPH3A
DELGIP,2013-06,ZCSL2,DPH3|DESR1|DELGIP1|MGC20197|KTI11|DPH3A,ZCSL2|DPH3|DESR1|DELGIP1|MGC20197|KTI11|DPH3A
DPH3A,2013-06,ZCSL2,DPH3|DESR1|DELGIP1|MGC20197|KTI11|DELGIP,ZCSL2|DPH3|DESR1|DELGIP1|MGC20197|KTI11|DELGIP
LINC02028,,,,
DFFA,2016-02,,DFF-45|DFF45|ICAD|DFF1,DFF-45|DFF45|ICAD|DFF1
DFF-45,2016-02,,DFFA|DFF45|ICAD|DFF1,DFFA|DFF45|ICAD|DFF1
DFF45,2016-02,,DFFA|DFF-45|ICAD|DFF1,DFFA|DFF-45|ICAD|DFF1
ICAD,2016-02,,DFFA|DFF-45|DFF45|DFF1,DFFA|DFF-45|DFF45|DFF1
DFF1,2016-02,,DFFA|DFF-45|DFF45|ICAD,DFFA|DFF-45|DFF45|ICAD
LINC00698,,,,
LINC01091,,,,
DCAF4L1,2016-06,WDR21B,,WDR21B
F11-AS1,,,,
LINC02495,,,,
RNF212,2007-01,LOC285498,FLJ38841,LOC285498|FLJ38841
FLJ38841,2007-01,LOC285498,RNF212,LOC285498|RNF212
DFFB,2016-02,,CAD|CPAN|DFF-40|DFF40,CAD|CPAN|DFF-40|DFF40
CAD,2016-02,,DFFB|CPAN|DFF-40|DFF40,DFFB|CPAN|DFF-40|DFF40
CPAN,2016-02,,DFFB|CAD|DFF-40|DFF40,DFFB|CAD|DFF-40|DFF40
DFF-40,2016-02,,DFFB|CAD|CPAN|DFF40,DFFB|CAD|CPAN|DFF40
DFF40,2016-02,,DFFB|CAD|CPAN|DFF-40,DFFB|CAD|CPAN|DFF-40
LINC01098,,,,
GPRIN3,,,GRIN3|FLJ42625,GRIN3|FLJ42625
GRIN3,,,GPRIN3|FLJ42625,GPRIN3|FLJ42625
FLJ42625,,,GPRIN3|GRIN3,GPRIN3|GRIN3
RNF175,,,FLJ34190,FLJ34190
FLJ34190,,,RNF175,RNF175
SEPSECS-AS1,,,,
LINC01097,,,,
LINC01096,,,,
DFN1,,,,
FAM200B,2015-11,,C4orf53,C4orf53
C4orf53,2015-11,,FAM200B,FAM200B
LINC01019,,,,
LINC01845,,,,
LINC02159,,,,
DFN2,,,,
C5orf51,,,LOC285636,LOC285636
LOC285636,,,C5orf51,C5orf51
RNF180,,,,
C5orf60,,,,
LINC02112,,,,
DFN3,,,,
LINC01622,,,TCONS_00011202,TCONS_00011202
TCONS_00011202,,,LINC01622,LINC01622
DFNX3,2014-01,DFN4,,DFN4
PACRG-AS1,2012-08,,,
DFN5,,,,
HCG22,2013-12,,FLJ37114|PBMUCL2,FLJ37114|PBMUCL2
FLJ37114,2013-12,,HCG22|PBMUCL2,HCG22|PBMUCL2
PBMUCL2,2013-12,,HCG22|FLJ37114,HCG22|FLJ37114
TBC1D3P2,2015-11,,,
LINC02537,,,,
CNPY1,2013-07,,,
LINC00174,2013-12,NCRNA00174,,NCRNA00174
DFN6,,,,
SNHG15,2015-02,C7orf40,FLJ38860|MYO1GUT|Linc-Myo1g,C7orf40|FLJ38860|MYO1GUT|Linc-Myo1g
FLJ38860,2015-02,C7orf40,SNHG15|MYO1GUT|Linc-Myo1g,C7orf40|SNHG15|MYO1GUT|Linc-Myo1g
MYO1GUT,2015-02,C7orf40,SNHG15|FLJ38860|Linc-Myo1g,C7orf40|SNHG15|FLJ38860|Linc-Myo1g
Linc-Myo1g,2015-02,C7orf40,SNHG15|FLJ38860|MYO1GUT,C7orf40|SNHG15|FLJ38860|MYO1GUT
EPHA1-AS1,2012-08,,,
ADRA1B,2012-05,,,
DFN7,,,,
LINC00996,,,,
ZNF789,,,,
XKR6,2016-02,C8orf7|C8orf21|C8orf5,,C8orf7|C8orf21|C8orf5
DFN8,,,,
MROH6,2016-01,C8orf73,,C8orf73
ZNF707,,,,
LINC01591,,,,
DFNA1,,,,
MICU3,2015-11,EFHA2,DKFZp313A0139,EFHA2|DKFZp313A0139
DKFZp313A0139,2015-11,EFHA2,MICU3,EFHA2|MICU3
ZNF252P-AS1,2012-08,C8orf77,,C8orf77
LINC02153,,,ENST00000517573,ENST00000517573
ENST00000517573,,,LINC02153,LINC02153
LINC02209,2017-01,FAM183CP,,FAM183CP
TRIQK,2012-04,C8orf83,DKFZp779L1068|PRO0845|LOC286144,C8orf83|DKFZp779L1068|PRO0845|LOC286144
DKFZp779L1068,2012-04,C8orf83,TRIQK|PRO0845|LOC286144,C8orf83|TRIQK|PRO0845|LOC286144
PRO0845,2012-04,C8orf83,TRIQK|DKFZp779L1068|LOC286144,C8orf83|TRIQK|DKFZp779L1068|LOC286144
LOC286144,2012-04,C8orf83,TRIQK|DKFZp779L1068|PRO0845,C8orf83|TRIQK|DKFZp779L1068|PRO0845
DPY19L4,2016-01,,,
DFNA10,,,,
LINC01299,,,,
DFNA11,,,,
C8orf34-AS1,,,,
LACTB2-AS1,,,,
CFAP157,2015-10,C9orf117,,C9orf117
SLC25A25-AS1,,,,
SOHLH1,2006-03,C9orf157,NOHLH|TEB2|bA100C15.3|bHLHe80|SPATA27,C9orf157|NOHLH|TEB2|bA100C15.3|bHLHe80|SPATA27
NOHLH,2006-03,C9orf157,SOHLH1|TEB2|bA100C15.3|bHLHe80|SPATA27,C9orf157|SOHLH1|TEB2|bA100C15.3|bHLHe80|SPATA27
TEB2,2006-03,C9orf157,SOHLH1|NOHLH|bA100C15.3|bHLHe80|SPATA27,C9orf157|SOHLH1|NOHLH|bA100C15.3|bHLHe80|SPATA27
bA100C15.3,2006-03,C9orf157,SOHLH1|NOHLH|TEB2|bHLHe80|SPATA27,C9orf157|SOHLH1|NOHLH|TEB2|bHLHe80|SPATA27
bHLHe80,2006-03,C9orf157,SOHLH1|NOHLH|TEB2|bA100C15.3|SPATA27,C9orf157|SOHLH1|NOHLH|TEB2|bA100C15.3|SPATA27
SPATA27,2006-03,C9orf157,SOHLH1|NOHLH|TEB2|bA100C15.3|bHLHe80,C9orf157|SOHLH1|NOHLH|TEB2|bA100C15.3|bHLHe80
SPATA31C1,2016-06,FAM75C1,FLJ36055,FAM75C1|FLJ36055
FLJ36055,2016-06,FAM75C1,SPATA31C1,FAM75C1|SPATA31C1
PAXX,2017-06,C9orf142,XLS,C9orf142|XLS
XLS,2017-06,C9orf142,PAXX,C9orf142|PAXX
DFNA12,,,,
FGF7P6,,,KGFLP1,KGFLP1
KGFLP1,,,FGF7P6,FGF7P6
FAM225A,2015-11,C9orf109|NCRNA00256A|LINC00256A,DKFZp686A0127,C9orf109|NCRNA00256A|LINC00256A|DKFZp686A0127
DKFZp686A0127,2015-11,C9orf109|NCRNA00256A|LINC00256A,FAM225A,C9orf109|NCRNA00256A|LINC00256A|FAM225A
LINC00476,2013-12,C9orf130,,C9orf130
DFNA13,,,,
MIR4290HG,,,,
LINC00484,2011-09,C9orf73,,C9orf73
CXXC1P1,2011-12,CXorf25|NCRNA00236,FLJ36789,CXorf25|NCRNA00236|FLJ36789
FLJ36789,2011-12,CXorf25|NCRNA00236,CXXC1P1,CXorf25|NCRNA00236|CXXC1P1
LINC00632,,,,
H2BFM,2015-11,,,
DFNA14,,,,
ANKRD30BP3,,,,
LINC00705,,,,
KRTAP5-AS1,,,,
VSIG10L2,,,,
DFNA15,,,,
ANKRD13D,2016-06,,,
CSTF3-AS1,,,,
ATP2B1-AS1,2016-11,LINC00936,,LINC00936
TMEM119,,,,
LINC02370,,,,
LINC01089,,,LIMT,LIMT
LIMT,,,LINC01089,LINC01089
C12orf74,,,,
LINC01252,,,,
DFNA16,,,,
LINC00347,2011-08,,,
WHAMMP3,2011-06,WHDC1L1|WHAMML1,,WHDC1L1|WHAMML1
TMEM95,,,MGC129793|UNQ9390,MGC129793|UNQ9390
MGC129793,,,TMEM95|UNQ9390,TMEM95|UNQ9390
UNQ9390,,,TMEM95|MGC129793,TMEM95|MGC129793
ADRA1C,,,,
DFNA17,,,,
C17orf67,,,,
OXLD1,2016-04,C17orf90,MGC104712,C17orf90|MGC104712
MGC104712,2016-04,C17orf90,OXLD1,C17orf90|OXLD1
ARL16,2015-12,,,
C17orf51,,,FLJ12977|FLJ31874|FLJ33618,FLJ12977|FLJ31874|FLJ33618
FLJ12977,,,C17orf51|FLJ31874|FLJ33618,C17orf51|FLJ31874|FLJ33618
FLJ31874,,,C17orf51|FLJ12977|FLJ33618,C17orf51|FLJ12977|FLJ33618
FLJ33618,,,C17orf51|FLJ12977|FLJ31874,C17orf51|FLJ12977|FLJ31874
MSL1,2016-04,,hMSL1|MSL-1|DKFZp686P24239,hMSL1|MSL-1|DKFZp686P24239
hMSL1,2016-04,,MSL1|MSL-1|DKFZp686P24239,MSL1|MSL-1|DKFZp686P24239
MSL-1,2016-04,,MSL1|hMSL1|DKFZp686P24239,MSL1|hMSL1|DKFZp686P24239
DKFZp686P24239,2016-04,,MSL1|hMSL1|MSL-1,MSL1|hMSL1|MSL-1
LINC00667,,,,
DFNA19,,,,
ADAMTSL5,2015-11,THSD6,,THSD6
FLG-AS1,2012-08,,,
C1orf174,,,RP13-531C17.2,RP13-531C17.2
RP13-531C17.2,,,C1orf174,C1orf174
TMEM52,,,,
C1orf222,,,,
ERVMER61-1,2015-12,C1orf99,,C1orf99
DFNA2,,,,
MTMR9LP,2010-04,MTMR9L,,MTMR9L
LINC01140,,,FLJ41676,FLJ41676
FLJ41676,,,LINC01140,LINC01140
LINC01139,,,LINK-A,LINK-A
LINK-A,,,LINC01139,LINC01139
DFNA20,,,,
LINC00634,,,,
FAM201B,2015-11,,,
SPOPL,2016-02,,BTBD33,BTBD33
BTBD33,2016-02,,SPOPL,SPOPL
MAP3K20-AS1,2016-11,MLK7-AS1,,MLK7-AS1
MROH2A,2016-01,HEATR7B1,,HEATR7B1
ESPNL,2017-06,,FLJ42568,FLJ42568
FLJ42568,2017-06,,ESPNL,ESPNL
C2orf70,,,LOC339778,LOC339778
LOC339778,,,C2orf70,C2orf70
DFNA21,,,,
LINC00299,2011-08,C2orf46|NCRNA00299,FLJ45673,C2orf46|NCRNA00299|FLJ45673
FLJ45673,2011-08,C2orf46|NCRNA00299,LINC00299,C2orf46|NCRNA00299|LINC00299
CCDC36,,,FLJ25320|CT74,FLJ25320|CT74
FLJ25320,,,CCDC36|CT74,CCDC36|CT74
CT74,,,CCDC36|FLJ25320,CCDC36|FLJ25320
LINC00880,,,,
GADL1,2015-11,,,
DFNA23,,,,
LPP-AS2,2012-08,,MYCLo-5|MYCLo-6,MYCLo-5|MYCLo-6
MYCLo-5,2012-08,,LPP-AS2|MYCLo-6,LPP-AS2|MYCLo-6
MYCLo-6,2012-08,,LPP-AS2|MYCLo-5,LPP-AS2|MYCLo-5
H1FX-AS1,2012-08,C3orf47,FLJ34151,C3orf47|FLJ34151
FLJ34151,2012-08,C3orf47,H1FX-AS1,C3orf47|H1FX-AS1
TMPRSS11A,,,ECRG1,ECRG1
ECRG1,,,TMPRSS11A,TMPRSS11A
LINC02260,,,,
LINC002481,,,,
LINC02433,,,,
DFNA24,,,,
SLC6A19,2016-02,,,
PRR7-AS1,2012-08,,,
TMEM173,,,FLJ38577|NET23|ERIS|MPYS|STING|MITA,FLJ38577|NET23|ERIS|MPYS|STING|MITA
FLJ38577,,,TMEM173|NET23|ERIS|MPYS|STING|MITA,TMEM173|NET23|ERIS|MPYS|STING|MITA
NET23,,,TMEM173|FLJ38577|ERIS|MPYS|STING|MITA,TMEM173|FLJ38577|ERIS|MPYS|STING|MITA
ERIS,,,TMEM173|FLJ38577|NET23|MPYS|STING|MITA,TMEM173|FLJ38577|NET23|MPYS|STING|MITA
MPYS,,,TMEM173|FLJ38577|NET23|ERIS|STING|MITA,TMEM173|FLJ38577|NET23|ERIS|STING|MITA
STING,,,TMEM173|FLJ38577|NET23|ERIS|MPYS|MITA,TMEM173|FLJ38577|NET23|ERIS|MPYS|MITA
MITA,,,TMEM173|FLJ38577|NET23|ERIS|MPYS|STING,TMEM173|FLJ38577|NET23|ERIS|MPYS|STING
FAM170A,2015-11,,ZNFD,ZNFD
ZNFD,2015-11,,FAM170A,FAM170A
C5orf66-AS2,,,,
LINC01959,,,,
LINC01020,,,,
LINC02239,,,,
DFNA26,,,,
LINC02120,,,,
MYLK4,2015-11,,SgK085,SgK085
SgK085,2015-11,,MYLK4,MYLK4
FAM221A,2015-11,C7orf46,FLJ45875|MGC72075|DKFZp686F0810,C7orf46|FLJ45875|MGC72075|DKFZp686F0810
FLJ45875,2015-11,C7orf46,FAM221A|MGC72075|DKFZp686F0810,C7orf46|FAM221A|MGC72075|DKFZp686F0810
MGC72075,2015-11,C7orf46,FAM221A|FLJ45875|DKFZp686F0810,C7orf46|FAM221A|FLJ45875|DKFZp686F0810
DKFZp686F0810,2015-11,C7orf46,FAM221A|FLJ45875|MGC72075,C7orf46|FAM221A|FLJ45875|MGC72075
DFNA27,,,,
AGBL3,2016-06,,MGC32955|CCP3,MGC32955|CCP3
MGC32955,2016-06,,AGBL3|CCP3,AGBL3|CCP3
CCP3,2016-06,,AGBL3|MGC32955,AGBL3|MGC32955
ZNF517,,,,
EXTL3-AS1,2012-08,C8orf50,,C8orf50
GAS2L1P2,2015-11,,,
LINC01501,,,,
PABPC1L2A,2016-03,RBM32A,,RBM32A
GRHL2,2016-01,DFNA28|TFCP2L3,FLJ13782|BOM,DFNA28|TFCP2L3|FLJ13782|BOM
FLJ13782,2016-01,DFNA28|TFCP2L3,GRHL2|BOM,DFNA28|TFCP2L3|GRHL2|BOM
BOM,2016-01,DFNA28|TFCP2L3,GRHL2|FLJ13782,DFNA28|TFCP2L3|GRHL2|FLJ13782
BEX5,2015-11,NGFRAP1L1,,NGFRAP1L1
MORF4L2-AS1,2012-08,,,
SATL1,2017-05,,,
ZNF850,2010-08,ZNF850P,,ZNF850P
PRAMEF5,,PRAMEF23,PRAMEF5L,PRAMEF23|PRAMEF5L
PRAMEF5L,,PRAMEF23,PRAMEF5,PRAMEF23|PRAMEF5
PRAMEF9,,,,
PRAMEF10,,,,
FAM71F2,2015-11,FAM137B,,FAM137B
ABC7,,,,
ADRA1D,2012-05,,ADRA1R|ADRA1A|ADRA1,ADRA1R|ADRA1A|ADRA1
ADRA1R,2012-05,,ADRA1D|ADRA1A|ADRA1,ADRA1D|ADRA1A|ADRA1
ADRA1A,2012-05,,ADRA1D|ADRA1R|ADRA1,ADRA1D|ADRA1R|ADRA1
ADRA1,2012-05,,ADRA1D|ADRA1R|ADRA1A,ADRA1D|ADRA1R|ADRA1A
DFNA29,,,,
ANKDD1A,2006-02,,FLJ25870,FLJ25870
FLJ25870,2006-02,,ANKDD1A,ANKDD1A
LINC01193,2014-01,CT60,LOC348120,CT60|LOC348120
LOC348120,2014-01,CT60,LINC01193,CT60|LINC01193
CTU2,2016-03,C16orf84,NCS2,C16orf84|NCS2
NCS2,2016-03,C16orf84,CTU2,C16orf84|CTU2
SKA2,2009-08,FAM33A,FLJ12758,FAM33A|FLJ12758
FLJ12758,2009-08,FAM33A,SKA2,FAM33A|SKA2
MCRIP1,2016-05,FAM195B,GRAN2|MCRIP,FAM195B|GRAN2|MCRIP
GRAN2,2016-05,FAM195B,MCRIP1|MCRIP,FAM195B|MCRIP1|MCRIP
MCRIP,2016-05,FAM195B,MCRIP1|GRAN2,FAM195B|MCRIP1|GRAN2
MIR450A1,2007-10,MIRN450|MIRN450-1|MIRN450A1,hsa-mir-450|hsa-mir-450-1|hsa-mir-450a-1,MIRN450|MIRN450-1|MIRN450A1|hsa-mir-450|hsa-mir-450-1|hsa-mir-450a-1
hsa-mir-450,2007-10,MIRN450|MIRN450-1|MIRN450A1,MIR450A1|hsa-mir-450-1|hsa-mir-450a-1,MIRN450|MIRN450-1|MIRN450A1|MIR450A1|hsa-mir-450-1|hsa-mir-450a-1
hsa-mir-450-1,2007-10,MIRN450|MIRN450-1|MIRN450A1,MIR450A1|hsa-mir-450|hsa-mir-450a-1,MIRN450|MIRN450-1|MIRN450A1|MIR450A1|hsa-mir-450|hsa-mir-450a-1
hsa-mir-450a-1,2007-10,MIRN450|MIRN450-1|MIRN450A1,MIR450A1|hsa-mir-450|hsa-mir-450-1,MIRN450|MIRN450-1|MIRN450A1|MIR450A1|hsa-mir-450|hsa-mir-450-1
DFNA3,,,,
C22orf34,,,,
SPATA3-AS1,,,,
LNP1,,,NP3,NP3
NP3,,,LNP1,LNP1
ANKRD18DP,,,,
FAM86EP,2015-11,,,
NIPAL4,2016-01,,ICHYN,ICHYN
ICHYN,2016-01,,NIPAL4,NIPAL4
LINC00265,2011-08,NCRNA00265,NCRNA00265-1,NCRNA00265|NCRNA00265-1
NCRNA00265-1,2011-08,NCRNA00265,LINC00265,NCRNA00265|LINC00265
DFNA30,,,,
WDR86,,,,
LINC00965,,,,
C9orf164,,,,
SPATA21,,,spergen-2|spergen2,spergen-2|spergen2
spergen-2,,,SPATA21|spergen2,SPATA21|spergen2
spergen2,,,SPATA21|spergen-2,SPATA21|spergen-2
WDPCP,2011-02,C2orf86,hFrtz|fritz|BBS15,C2orf86|hFrtz|fritz|BBS15
hFrtz,2011-02,C2orf86,WDPCP|fritz|BBS15,C2orf86|WDPCP|fritz|BBS15
fritz,2011-02,C2orf86,WDPCP|hFrtz|BBS15,C2orf86|WDPCP|hFrtz|BBS15
BBS15,2011-02,C2orf86,WDPCP|hFrtz|fritz,C2orf86|WDPCP|hFrtz|fritz
ZNF691,,,Zfp691,Zfp691
Zfp691,,,ZNF691,ZNF691
FAM135B,2015-11,,C8ORFK32,C8ORFK32
C8ORFK32,2015-11,,FAM135B,FAM135B
DFNA31,,,,
TXNDC11,,,EFP1,EFP1
EFP1,,,TXNDC11,TXNDC11
DRICH1,2016-06,C22orf43,,C22orf43
EMC4,2012-05,TMEM85,FLJ90746|MGC24415|PIG17,TMEM85|FLJ90746|MGC24415|PIG17
FLJ90746,2012-05,TMEM85,EMC4|MGC24415|PIG17,TMEM85|EMC4|MGC24415|PIG17
MGC24415,2012-05,TMEM85,EMC4|FLJ90746|PIG17,TMEM85|EMC4|FLJ90746|PIG17
PIG17,2012-05,TMEM85,EMC4|FLJ90746|MGC24415,TMEM85|EMC4|FLJ90746|MGC24415
CCDC174,2012-09,C3orf19,FLJ33839,C3orf19|FLJ33839
FLJ33839,2012-09,C3orf19,CCDC174,C3orf19|CCDC174
PDZD11,,PDZK11,,PDZK11
TMEM69,2005-08,C1orf154,FLJ21029,C1orf154|FLJ21029
FLJ21029,2005-08,C1orf154,TMEM69,C1orf154|TMEM69
FAM178B,2015-11,,LOC51252,LOC51252
LOC51252,2015-11,,FAM178B,FAM178B
RNF181,,,HSPC238,HSPC238
HSPC238,,,RNF181,RNF181
2-Mar,2015-11,,HSPC240|MARCH-II|RNF172,HSPC240|MARCH-II|RNF172
HSPC240,2015-11,,2-Mar|MARCH-II|RNF172,2-Mar|MARCH-II|RNF172
MARCH-II,2015-11,,2-Mar|HSPC240|RNF172,2-Mar|HSPC240|RNF172
RNF172,2015-11,,2-Mar|HSPC240|MARCH-II,2-Mar|HSPC240|MARCH-II
KRCC1,2016-06,,FLJ22333,FLJ22333
FLJ22333,2016-06,,KRCC1,KRCC1
DFNA32,,,,
MEX3C,2013-08,RKHD2,FLJ38871|RNF194,RKHD2|FLJ38871|RNF194
FLJ38871,2013-08,RKHD2,MEX3C|RNF194,RKHD2|MEX3C|RNF194
RNF194,2013-08,RKHD2,MEX3C|FLJ38871,RKHD2|MEX3C|FLJ38871
AMZ2,,,,
GSAP,2013-04,PION,LOC54103,PION|LOC54103
LOC54103,2013-04,PION,GSAP,PION|GSAP
ZNF821,,,,
HIGD1C,2015-11,,Gm921,Gm921
Gm921,2015-11,,HIGD1C,HIGD1C
FAM212B,2015-11,C1orf183,FLJ31105|INKA2,C1orf183|FLJ31105|INKA2
FLJ31105,2015-11,C1orf183,FAM212B|INKA2,C1orf183|FAM212B|INKA2
INKA2,2015-11,C1orf183,FAM212B|FLJ31105,C1orf183|FAM212B|FLJ31105
ZMAT5,2016-02,ZC3H19,SNRNP20,ZC3H19|SNRNP20
SNRNP20,2016-02,ZC3H19,ZMAT5,ZC3H19|ZMAT5
DFNA33,,,,
CIAPIN1,,,Anamorsin,Anamorsin
Anamorsin,,,CIAPIN1,CIAPIN1
CCDC181,2013-03,C1orf114,FLJ25846,C1orf114|FLJ25846
